Category,Business Name,Phone,Address,Website,Email
Property Management,Specialized Property Management Oklahoma City,(405) 594-6923,"1000 W Wilshire Blvd Ste 347, Oklahoma City, OK 73116",https://specializedpropertymanagementoklahomacity.com,
Property Management,OKCREAL Property Management Company,(405) 256-2614,"1141 W Sheridan Ave, Oklahoma City, OK 73106",https://www.okcreal.com,
Property Management,Oakwood Property Management,(405) 848-1989,"701 W Hefner Rd, Oklahoma City, OK 73114",https://oakwoodokc.godaddysites.com,
Property Management,Camber Property Management & Leasing,(405) 509-9170,"2844 N Kelly Ave #103, Edmond, OK 73003",http://www.camberpm.com,
Property Management,Purposeful Property Management,(405) 300-1494,"3030 Northwest Expy Ste 300, Oklahoma City, OK 73112",https://www.purposefulpropertymanagement.com,
Property Management,Boulevard Property Management,(405) 397-8888,"3815 N Classen Blvd, Oklahoma City, OK 73118",http://www.blvdmg.com,
Property Management,OKC Homes 4 You,(405) 996-8987,,https://www.okchomes4you.com,
Property Management,Real Property Management Elevate,(405) 876-7611,"17 E 1st St, Edmond, OK 73034",https://www.rpmelevate.com,
Property Management,Hometown Realty,(405) 293-3193,"2812 NW 57th St Ste 101, Oklahoma City, OK 73112",http://hometownoklahoma.com,
Property Management,Rock Property Group,(405) 286-9329,"13905 Quail Pointe Dr Ste B, Oklahoma City, OK 73134",https://www.rpg-ok.com,
Property Management,Archstone Properties,(405) 254-5182,"1900 Northwest Expy, Oklahoma City, OK 73118",https://www.archstonepropertymanagement.co,
Property Management,First Class Property Solutions,(405) 919-0460,"2500 S Broadway #100, Edmond, OK 73013",https://fcpsok.com,
Property Management,Tru Diligence Property Management,(405) 578-4581,,https://www.trudiligence-pm.com,
Property Management,Home Choice Property Management,(405) 600-6911,"7220 S Western Ave Ste 102, Oklahoma City, OK 73139",https://www.hcpmok.com,
Property Management,Dynamic Property Solutions,(405) 297-4800,"7201 N Classen Blvd Ste 150, Oklahoma City, OK 73116",https://dynamicpropertysolutions.com,
Property Management,Courtyard Properties,(405) 882-7368,"13901 Parkway Commons Dr Ste Suite B, Oklahoma City, OK 73134",http://www.courtyardpropertiesokc.com,
Property Management,Complete Home Rentals,(405) 286-2000,"8801 N Western Ave, Oklahoma City, OK 73114",http://completehomerentals.com,
Property Management,PURE Property Management of Oklahoma,(405) 871-5996,,https://ok.purepm.co,
Property Management,Oklahoma Red Door Management,(405) 677-9116,"7220 S Western Ave Ste 103, Oklahoma City, OK 73139",https://okreddoors.com,
Property Management,AG Homes,(405) 276-4663,"6008 NW 120th Ct, Oklahoma City, OK 73162",https://www.aghomesokc.com,
Property Management,LIME Realty,(405) 254-6310,"5909 Northwest Expy Ste. A200, Oklahoma City, OK 73132",http://lime-realty.com,
Property Management,HomeRiver Group Oklahoma City Property Management,(405) 429-7807,"504 Tower Dr Ste b, Moore, OK 73160",https://www.homeriver.com/oklahoma/oklahoma-city-property-management,
Real Estate Brokers,Authentic Real Estate Services Group,(405) 876-5348,"5909 Northwest Expy Ste. A220, Oklahoma City, OK 73132",http://www.authenticresok.com,
Real Estate Brokers,KG Realty,(405) 883-1203,"10944 Northwest Expy Ste A, Yukon, OK 73099",https://www.kgrealty.com,
Real Estate Brokers,The Brokerage Real Estate,(405) 645-3690,"16420 Muirfield Pl, Edmond, OK 73013",https://www.brettboone.com,
Real Estate Brokers,LIME Realty,(405) 254-6310,"5909 Northwest Expy Ste. A200, Oklahoma City, OK 73132",http://lime-realty.com,
Real Estate Brokers,Bailee & Co Real Estate,(405) 650-1450,"14800 Serenita Ave, Oklahoma City, OK 73134",http://www.baileecompany.com,
Real Estate Brokers,Tiffany Logsdon,(432) 664-1042,"5909 Northwest Expy STE G-180, Oklahoma City, OK 73132",http://www.tiffanylogsdon.com,
Real Estate Brokers,Loxwood Real Estate,(405) 404-0040,"3000 United Founders Blvd Ste 139, Oklahoma City, OK 73112",https://soloist.ai/loxwoodrealestate,
Real Estate Brokers,FIDELITY Real Estate Brokers,(405) 285-2835,"2956 NW 156th St, Edmond, OK 73013",https://www.fidelityrei.com,
Real Estate Brokers,Metro First Realty: Mona Michelle,(405) 924-5121,"3232 W Britton Rd #277, Oklahoma City, OK 73120",https://monamichelle.com,
Real Estate Brokers,Meraki Real Estate,(405) 306-7766,"3815 N Classen Blvd, Oklahoma City, OK 73118",http://www.merakirealestate.com,
Real Estate Brokers,Jarrett Carter of ERA Courtyard Real Estate,(405) 613-9333,"13901 Parkway Commons Dr B, Oklahoma City, OK 73134",https://homesbyjarrett.com,
Real Estate Brokers,Arrived OKC - Local Real Estate,(405) 237-8189,"Oklahoma City, OK",https://arrivedokc.com,
Real Estate Brokers,RE/MAX at Home OKC,(405) 708-6691,"3121 Quail Springs Pkwy Ste 100, Oklahoma City, OK 73134",http://athomeokc.com,
Real Estate Brokers,The Leah Brown Team at McGraw Realtors,(405) 414-2433,"280 S Yukon Pkwy, Yukon, OK 73099",http://www.homeswithleah.com,
Real Estate Brokers,Kbb Real Estate,(405) 361-4079,"714 S Dewey Ave, Oklahoma City, OK 73109",http://www.kbbrealestate.com,
Real Estate Brokers,Copper Creek Real Estate,(405) 288-4949,"124 NW 12th St, Oklahoma City, OK 73103",https://ccrebrokers.com,
Real Estate Brokers,Honorata Gruzewski Crown Homes Realty LLC,(405) 204-3935,"11316 Randwick Dr, Oklahoma City, OK 73162",,
Real Estate Brokers,Kathleen Forrest Metro Brokers of Oklahoma,(405) 330-1859,"15136 Traditions Blvd #1, Edmond, OK 73013",http://www.kathleenforrest.com,
Real Estate Brokers,Movers Real Estate Team,(405) 722-3232,"3020 E Britton Rd, Oklahoma City, OK 73131",http://moversre.com,
Real Estate Brokers,Abby Mathew Real Broker LLC,(405) 203-8558,"Oklahoma City, OK",https://abbymathew.com,
Real Estate Brokers,Salt Real Estate,(405) 839-7070,"1508 W Edmond Rd, Edmond, OK 73003",http://salt.realestate,
Real Estate Brokers,Emily Mathews - We Sell Oklahoma Real Estate,(405) 206-7322,"1213 NW 41st St, Oklahoma City, OK 73118",https://www.weselloklahoma.com,
Real Estate Brokers,ERA Courtyard Real Estate,(405) 720-7400,"13901 Parkway Commons Dr Ste Suite B, Oklahoma City, OK 73134",http://www.eracourtyardokc.com,
Real Estate Brokers,The Miller Dream Team,(405) 628-4948,"101 Park Ave suite 1300, Oklahoma City, OK 73102",https://www.themillerdreamteam.net,
Real Estate Brokers,The Brian Woodward Team at RE/MAX Energy Real Estate,(405) 350-3031,"335 S Mustang Rd Ste G, Yukon, OK 73099",https://www.energyrealestateokc.com,
Real Estate Brokers,Your Home Sold Guaranteed Realty - Kerr Team,(405) 330-3000,"15704 N Pennsylvania Ave Suite 2, Edmond, OK 73013",https://www.kerrteam.com,
Real Estate Brokers,Sarah Faye Bloxham - Evolve Realty and Associates,(405) 558-1628,"Oklahoma City, OK",https://evolverealtyok.com,
Real Estate Brokers,The Justiz League Real Estate Team - Spearhead Realty,(405) 470-9348,"5909 Northwest Expy Ste G180-b, Oklahoma City, OK 73132",https://justizleaguerealestate.com,
Real Estate Brokers,Homes by Breann Team,(405) 400-0789,"1008 SW 4th St Ste 102, Moore, OK 73160",https://homesbybreannteam.com,
Real Estate Brokers,Brad Homme Realtor - Real Broker LLC,(405) 474-9683,"11029 NW 23rd Terrace, Yukon, OK 73099",https://soldokc.com,
Real Estate Brokers,Josh Barnett with eXp Realty,(405) 369-8202,"3209 S Broadway Ste 231, Edmond, OK 73013",https://www.oklearnmore.com,
Real Estate Brokers,Kaci Kaiser Real Estate - Oklahoma City,(405) 312-3264,"Oklahoma City, OK",https://www.kaiserdrakehomes.com,
Real Estate Brokers,Dana Kelley DC Kelley Realty,(405) 503-0059,"8801 Commerce Park Dr, Oklahoma City, OK 73132",https://www.dckelley.com,
Real Estate Brokers,Legacy Real Estate Group,(405) 759-2211,"10501 Blackwelder Ave Ste A, Oklahoma City, OK 73170",https://legacyokc.net,
Real Estate Brokers,Re/Max Pros,(405) 722-3636,"12309 Hidden Forest Blvd, Oklahoma City, OK 73142",,
Real Estate Brokers,Andrea Jalaff - Bilingual Realtor,(405) 889-6501,"4513 Memorial Circle, Oklahoma City, OK 73120",,
Real Estate Brokers,Andi Bytyqi - Fidelity Real Estate Brokers,(405) 205-7585,"Oklahoma City, OK",https://www.okcrealtor.com,
Real Estate Brokers,JMR Realty Oklahoma,(405) 888-3148,"1015 Waterwood Pkwy Ste. F, Edmond, OK 73034",https://jmrrealtyok.com,
Real Estate Brokers,Stellar Realty,(405) 735-8797,"2201 SW 119th St Ste B, Oklahoma City, OK 73170",https://www.stellarrealtyok.com,
Owner Financing,Welcome Home Solutions,405-938-0500,"20 NE 38th St, Oklahoma City, OK 73105",https://welcomehomeoklahoma.com,
Owner Financing,OKC Home Realty Services,(405) 232-5800,"2532 W I 44 Service Rd, Oklahoma City, OK 73112",https://www.yourokcpropertymanager.com,
Short Term Rentals / Airbnb,One Fine BnB,(512) 566-3800,"1401 Lavaca St #41742, Austin, TX 78701",https://onefinebnb.com,help@onefinebnb.com
Short Term Rentals / Airbnb,Stay in OKC (Toshi Stay),(405) 452-0333,"Oklahoma City, OK",https://toshistay.com,info@toshistay.com
Short Term Rentals / Airbnb,DMG Real Estate Services,(405) 364-4114,"3560 Macdonnell Dr, Norman, OK 73069",https://www.dmgrealestate.com,info@dmgrealestate.com
Short Term Rentals / Airbnb,Pro Familia Homes,(405) 254-6533,"3708 NW 52nd St, Oklahoma City, OK 73112",https://www.stayprofamilia.com,
Short Term Rentals / Airbnb,Simple Property Management,(405) 445-5505,"2520 NW 39th St, Oklahoma City, OK 73112",https://www.thesimplebrands.com,info@thesimplebrands.com
Short Term Rentals / Airbnb,Unwind Luxury Vacations,(501) 570-6174,"Broken Bow, Oklahoma",https://unwindluxuryvacations.com,info@unwindluxuryvacations.com
Short Term Rentals / Airbnb,OKC Home Realty Services,(405) 232-5800,"2532 W I 44 Service Rd, Oklahoma City, OK 73112",https://www.yourokcpropertymanager.com,scott@nicehome4u.com
Short Term Rentals / Airbnb,Awning,(415) 612-5985,"Petaluma, CA",https://awning.com,hello@awning.com
Short Term Rentals / Airbnb,Surge Professional Airbnb Management,(888) 616-8149,,https://www.gowithsurge.com,hello@gowithsurge.com
Landlords,Brad Reeser - Keller Williams Realty,(405) 330-2626,"2919-A Battlecreek Dr, Edmond, OK 73013",https://www.bradreeser.com,
Landlords,McGraw Realtors,(405) 562-4663,"3301 French Park Dr suite a, Edmond, OK 73034",https://www.mcgrawrealtors.com,
Landlords,REAL Property Management Enterprise,(405) 593-0100,"16301 Sonora Rd, Edmond, OK 73013",https://www.enterpriseokc.com,
Landlords,Hallmark Property Management,(405) 607-4666,"1211 N Shartel Ave suite a, Oklahoma City, OK 73103",https://www.hallmarkokc.com,
Landlords,RE/MAX Preferred,(405) 722-0007,"9520 N May Ave, Oklahoma City, OK 73120",https://www.remaxpreferredokc.com,
